competition_id,season,CompetitionRound,MatchDay,HomeTeamGoals,AwayTeamGoals,aggregate,HomeTeamPosition,AwayTeamPosition,HomeTeam,AwayTeam
L1,2022,4,27-8-2022,2,0,02:00:00,9,15,Rasenballsport Leipzig,Vfl Wolfsburg
L1,2022,3,21-8-2022,0,7,00:07:00,18,1,Vfl Bochum,Fc Bayern Munchen
L1,2022,3,21-8-2022,1,1,01:01:00,15,8,Eintracht Frankfurt,1 Fc Koln
L1,2022,6,10-9-2022,2,2,02:02:00,15,17,Hertha Bsc,Bayer 04 Leverkusen
L1,2022,3,20-8-2022,0,1,00:01:00,12,5,Vfb Stuttgart,Sc Freiburg
L1,2022,3,20-8-2022,1,2,01:02:00,10,4,Fc Augsburg,1 Fsv Mainz 05
L1,2022,3,20-8-2022,0,0,00:00:00,14,13,Vfl Wolfsburg,Fc Schalke 04
L1,2022,3,20-8-2022,0,3,00:03:00,17,6,Bayer 04 Leverkusen,Tsg 1899 Hoffenheim
L1,2022,3,20-8-2022,2,3,02:03:00,7,9,Borussia Dortmund,Sv Werder Bremen
L1,2022,3,19-8-2022,1,0,01:00:00,2,16,Borussia Monchengladbach,Hertha Bsc
L1,2022,2,14-8-2022,2,0,02:00:00,1,15,Fc Bayern Munchen,Vfl Wolfsburg
L1,2022,2,14-8-2022,0,0,00:00:00,6,5,1 Fsv Mainz 05,1 Fc Union Berlin
L1,2022,2,13-8-2022,2,2,02:02:00,13,4,Fc Schalke 04,Borussia Monchengladbach
L1,2022,2,13-8-2022,2,2,02:02:00,10,11,Sv Werder Bremen,Vfb Stuttgart
L1,2022,3,20-8-2022,2,1,02:01:00,3,11,1 Fc Union Berlin,Rasenballsport Leipzig
L1,2022,2,13-8-2022,3,2,03:02:00,8,17,Tsg 1899 Hoffenheim,Vfl Bochum
L1,2022,2,13-8-2022,2,2,02:02:00,12,3,Rasenballsport Leipzig,1 Fc Koln
L1,2022,2,13-8-2022,1,2,01:02:00,18,9,Bayer 04 Leverkusen,Fc Augsburg
L1,2022,2,12-8-2022,1,3,01:03:00,7,2,Sc Freiburg,Borussia Dortmund
L1,2022,1,7-8-2022,3,1,03:01:00,4,14,1 Fc Koln,Fc Schalke 04
L1,2022,5,3-9-2022,2,3,02:03:00,14,1,Bayer 04 Leverkusen,Sc Freiburg
L1,2022,1,6-8-2022,1,0,01:00:00,7,13,Borussia Dortmund,Bayer 04 Leverkusen
L1,2022,4,27-8-2022,0,1,00:01:00,17,5,Hertha Bsc,Borussia Dortmund
L1,2022,1,6-8-2022,1,2,01:02:00,12,6,Vfl Bochum,1 Fsv Mainz 05
L1,2022,1,6-8-2022,0,4,00:04:00,17,2,Fc Augsburg,Sc Freiburg
L1,2022,8,1-10-2022,2,1,02:01:00,2,12,Sc Freiburg,1 Fsv Mainz 05
L1,2022,1,6-8-2022,3,1,03:01:00,3,15,1 Fc Union Berlin,Hertha Bsc
L1,2022,1,5-8-2022,1,6,01:06:00,18,1,Eintracht Frankfurt,Fc Bayern Munchen
L1,2022,6,10-9-2022,0,1,00:01:00,11,16,Eintracht Frankfurt,Vfl Wolfsburg
L1,2022,1,6-8-2022,3,1,03:01:00,5,16,Borussia Monchengladbach,Tsg 1899 Hoffenheim
L1,2022,4,26-8-2022,1,0,01:00:00,3,18,Sc Freiburg,Vfl Bochum
L1,2022,1,6-8-2022,2,2,02:02:00,9,8,Vfl Wolfsburg,Sv Werder Bremen
L1,2022,2,13-8-2022,1,1,01:01:00,14,16,Hertha Bsc,Eintracht Frankfurt
L1,2022,5,3-9-2022,2,4,02:04:00,17,6,Vfl Wolfsburg,1 Fc Koln
L1,2022,1,7-8-2022,1,1,01:01:00,11,10,Vfb Stuttgart,Rasenballsport Leipzig
FR1,2022,20,29-1-2023,4,0,04:00:00,16,20,Stade Brest 29,Sco Angers
FR1,2022,20,29-1-2023,1,2,01:02:00,17,12,Rc Strassburg Alsace,Fc Toulouse
FR1,2022,20,29-1-2023,0,0,00:00:00,8,13,Clermont Foot 63,Fc Nantes
FR1,2022,20,29-1-2023,0,2,00:02:00,19,14,Aj Auxerre,Montpellier Hsc
FR1,2022,20,29-1-2023,1,0,01:00:00,10,7,Ogc Nizza,Losc Lille
FR1,2022,20,28-1-2023,1,1,01:01:00,3,4,Olympique Marseille,As Monaco
FR1,2022,19,15-1-2023,1,0,01:00:00,5,1,Fc Stade Rennes,Fc Paris Saint Germain
FR1,2022,19,15-1-2023,7,1,07:01:00,4,18,As Monaco,Ac Ajaccio
FR1,2022,19,15-1-2023,1,1,01:01:00,12,17,Fc Toulouse,Stade Brest 29
FR1,2022,19,15-1-2023,0,0,00:00:00,11,10,Stade Reims,Ogc Nizza
FR1,2022,19,15-1-2023,0,3,00:03:00,15,13,Montpellier Hsc,Fc Nantes
FR1,2022,19,15-1-2023,1,2,01:02:00,20,8,Sco Angers,Clermont Foot 63
FR1,2022,20,27-1-2023,2,1,02:01:00,6,5,Fc Lorient,Fc Stade Rennes
FR1,2022,19,15-1-2023,5,1,05:01:00,6,14,Losc Lille,Es Troyes Ac
FR1,2022,19,14-1-2023,1,2,01:02:00,9,16,Olympique Lyon,Rc Strassburg Alsace
FR1,2022,19,14-1-2023,3,1,03:01:00,3,7,Olympique Marseille,Fc Lorient
FR1,2022,18,11-1-2023,0,2,00:02:00,13,3,Es Troyes Ac,Olympique Marseille
FR1,2022,18,11-1-2023,2,2,02:02:00,19,2,Rc Strassburg Alsace,Rc Lens
FR1,2022,20,28-1-2023,1,1,01:01:00,15,2,Es Troyes Ac,Rc Lens
FR1,2022,18,11-1-2023,2,2,02:02:00,6,5,Fc Lorient,As Monaco
FR1,2022,18,11-1-2023,0,0,00:00:00,17,7,Stade Brest 29,Losc Lille
FR1,2022,18,11-1-2023,0,0,00:00:00,14,8,Fc Nantes,Olympique Lyon
FR1,2022,18,11-1-2023,2,1,02:01:00,9,4,Clermont Foot 63,Fc Stade Rennes
FR1,2022,18,11-1-2023,0,5,00:05:00,18,12,Aj Auxerre,Fc Toulouse
FR1,2022,18,11-1-2023,0,1,00:01:00,16,11,Ac Ajaccio,Stade Reims
FR1,2022,17,2-1-2023,2,1,02:01:00,4,11,Fc Stade Rennes,Ogc Nizza
FR1,2022,17,2-1-2023,1,2,01:02:00,14,3,Montpellier Hsc,Olympique Marseille
FR1,2022,17,2-1-2023,2,3,02:03:00,19,13,Rc Strassburg Alsace,Es Troyes Ac
FR1,2022,17,1-1-2023,3,1,03:01:00,2,1,Rc Lens,Fc Paris Saint Germain
FR1,2022,17,1-1-2023,0,1,00:01:00,8,9,Olympique Lyon,Clermont Foot 63
FR1,2022,17,1-1-2023,2,0,02:00:00,12,16,Fc Toulouse,Ac Ajaccio
FR1,2022,17,1-1-2023,1,0,01:00:00,15,18,Fc Nantes,Aj Auxerre
FR1,2022,17,1-1-2023,1,2,01:02:00,20,6,Sco Angers,Fc Lorient
FR1,2022,17,1-1-2023,1,0,01:00:00,5,17,As Monaco,Stade Brest 29
FR1,2022,17,2-1-2023,1,1,01:01:00,7,10,Losc Lille,Stade Reims
FR1,2022,16,29-12-2022,0,0,00:00:00,9,2,Ogc Nizza,Rc Lens
FR1,2022,16,29-12-2022,6,1,06:01:00,3,13,Olympique Marseille,Fc Toulouse
FR1,2022,16,29-12-2022,0,2,00:02:00,7,12,Fc Lorient,Montpellier Hsc
FR1,2022,16,28-12-2022,2,4,02:04:00,17,8,Stade Brest 29,Olympique Lyon
FR1,2022,16,28-12-2022,2,1,02:01:00,1,19,Fc Paris Saint Germain,Rc Strassburg Alsace
FR1,2022,16,28-12-2022,0,2,00:02:00,11,6,Clermont Foot 63,Losc Lille
FR1,2022,16,28-12-2022,2,3,02:03:00,18,5,Aj Auxerre,As Monaco
FR1,2022,16,28-12-2022,0,0,00:00:00,14,16,Es Troyes Ac,Fc Nantes
FR1,2022,16,28-12-2022,1,0,01:00:00,15,20,Ac Ajaccio,Sco Angers
FR1,2022,15,13-11-2022,2,3,02:03:00,6,4,As Monaco,Olympique Marseille
FR1,2022,15,13-11-2022,1,1,01:01:00,19,5,Rc Strassburg Alsace,Fc Lorient
FR1,2022,15,13-11-2022,2,1,02:01:00,16,13,Stade Brest 29,Es Troyes Ac
FR1,2022,15,13-11-2022,1,1,01:01:00,14,11,Montpellier Hsc,Stade Reims
FR1,2022,15,13-11-2022,1,0,01:00:00,7,20,Losc Lille,Sco Angers
FR1,2022,15,13-11-2022,2,2,02:02:00,15,18,Fc Nantes,Ac Ajaccio
FR1,2022,15,13-11-2022,5,0,05:00:00,1,17,Fc Paris Saint Germain,Aj Auxerre
FR1,2022,15,12-11-2022,2,1,02:01:00,3,12,Fc Stade Rennes,Fc Toulouse
FR1,2022,15,12-11-2022,2,1,02:01:00,2,10,Rc Lens,Clermont Foot 63
FR1,2022,18,11-1-2023,6,1,06:01:00,10,15,Ogc Nizza,Montpellier Hsc
FR1,2022,14,6-11-2022,1,0,01:00:00,4,8,Olympique Marseille,Olympique Lyon
FR1,2022,14,6-11-2022,1,1,01:01:00,7,3,Losc Lille,Fc Stade Rennes
FR1,2022,14,6-11-2022,0,2,00:02:00,12,5,Fc Toulouse,As Monaco
FR1,2022,14,6-11-2022,1,0,01:00:00,11,16,Stade Reims,Fc Nantes
